#,id,condition_text,else_text,end_line,parse_mode,program_id,raw_snippet,rule_type,start_line,subject_text,then_text,when_text,when_index,is_when_other,evaluate_boolean_mode
20,20,NUM02 IS ZERO,,18,FULL,924,"IF NUM02 IS ZERO THEN
      DISPLAY 'NUM02 IS ZERO'
    END-IF",IF,16,,DISPLAY 'NUM02 IS ZERO',,,,
21,21,NUM02 IS POSITIVE,,21,FULL,924,"IF NUM02 IS POSITIVE THEN
      DISPLAY 'NUM02 IS POSITIVE'
    END-IF",IF,19,,DISPLAY 'NUM02 IS POSITIVE',,,,
22,22,NUM03 IS ZERO,,24,FULL,924,"IF NUM03 IS ZERO THEN
      DISPLAY 'NUM03 IS ZERO'
    END-IF",IF,22,,DISPLAY 'NUM03 IS ZERO',,,,
23,23,NUM03 IS POSITIVE,,27,FULL,924,"IF NUM03 IS POSITIVE THEN
      DISPLAY 'NUM03 IS POSITIVE'
    END-IF",IF,25,,DISPLAY 'NUM03 IS POSITIVE',,,,
24,24,W-ARR > W-ARR,,25,PROCEDURE_ONLY,927,"IF W-ARR > W-ARR
          MOVE W-J TO W-MIN
        END-IF",IF,23,,MOVE W-J TO W-MIN,,,,
25,25,GOOD-PARM,,321,FULL,928,"IF GOOD-PARM
       PERFORM 9200-INIT
       PERFORM 8000-READ-INPUT
            UNTIL RECORDS-READ = START-NUMBER
            OR END-OF-FILE
       PERFORM 1000-PROCESS-DATA
             UNTIL END-OF-FILE
       PERFORM 6000-PRINT-EMPLOYEE-REPORT
       MOVE 1 TO REGION-SUB
       IF END-OF-MONTH
           PERFORM 7000-PRINT-REGION-REPORT
                 UNTIL REGION-SUB > 4",IF,310,,PERFORM 9200-INIT PERFORM 8000-READ-INPUT UNTIL RECORDS-READ = START-NUMBER OR END-OF-FILE PERFORM 1000-PROCESS-DATA UNTIL END-OF-FILE PERFORM 6000-PRINT-EMPLOYEE-REPORT MOVE 1 TO REGION-SUB IF END-OF-MONTH PERFORM 7000-PRINT-REGION-REPORT UNTIL REGION-SUB > 4,,,,
26,26,END-OF-MONTH,,321,FULL,928,"IF END-OF-MONTH
           PERFORM 7000-PRINT-REGION-REPORT
                 UNTIL REGION-SUB > 4",IF,319,,PERFORM 7000-PRINT-REGION-REPORT UNTIL REGION-SUB > 4,,,,
27,34,RECORDS-READ NOT EQUAL TO ZERO,,365,FULL,928,"IF RECORDS-READ NOT EQUAL TO ZERO
                      MOVE ' INVALID EMPLOYEE TYPE '
                         TO ERROR-LINE
                      WRITE REPORT-RECORD FROM ERROR-LINE
                  END-IF",IF,361,,MOVE ' INVALID EMPLOYEE TYPE ' TO ERROR-LINE WRITE REPORT-RECORD FROM ERROR-LINE,,,,
28,45,EAST,IF WEST ADD 1 TO WEST-COUNT SET HOLD-IX TO WEST-COUNT ELSE MOVE 'Y' TO REGION-ERROR-SW,493,FULL,928,"IF EAST
                ADD 1 TO EAST-COUNT
                SET HOLD-IX TO EAST-COUNT
            ELSE
                IF WEST
                    ADD 1 TO WEST-COUNT
                    SET HOLD-IX TO WEST-COUNT
                ELSE
                    MOVE 'Y' TO REGION-ERROR-SW",IF,485,,ADD 1 TO EAST-COUNT SET HOLD-IX TO EAST-COUNT,,,,
29,27,HOURLY,"IF SALES DISPLAY 'SALES' PERFORM 3000-PROCESS-SALES ELSE IF MANAGEMENT DISPLAY 'MANAGEMENT' PERFORM 4000-PROCESS-MANAGEMENT ELSE IF DELETED DISPLAY 'DELETED' IF CURSOR-FETCHED DISPLAY 'DELETE WS-CURSOR-SWITCH= ' WS-CURSOR-SWITCH DISPLAY ""EXEC_BLOCK_STUB"" ELSE DISPLAY 'DELETE WS-CURSOR-SWITCH= ' WS-CURSOR-SWITCH IF DELETED AND CURSOR-NOT-FETCHED DISPLAY ""EXEC_BLOCK_STUB"" END-IF DISPLAY 'ENDIF CURSOR FETCHED' IF SQLCODE NOT EQUAL TO 0 MOVE SQLCODE TO WS-DISPLAY-SQLCODE DISPLAY 'ERROR ON DELETE - SQLCODE = ' WS-DISPLAY-SQLCODE END-IF ELSE DISPLAY 'INVALID EMPLOYEE TYPE' WA-EMP-TYPE IF RECORDS-READ NOT EQUAL TO ZERO MOVE ' INVALID EMPLOYEE TYPE ' TO ERROR-LINE WRITE REPORT-RECORD FROM ERROR-LINE END-IF END-IF END-IF END-IF END-IF",369,FULL,928,"IF HOURLY
        DISPLAY 'HOURLY'
        PERFORM 2000-PROCESS-HOURLY
    ELSE
        IF SALES
            DISPLAY 'SALES'
            PERFORM 3000-PROCESS-SALES
        ELSE
            IF MANAGEMENT
                DISPLAY 'MANAGEMENT'
                PERFORM 4000-PROCESS-MANAGEMENT
            ELSE
               IF DELETED
                   DISPLAY 'DELETED'
                   IF CURSOR-FETCHED
                     DISPLAY 'DELETE WS-CURSOR-SWITCH= '
                     WS-CURSOR-SWITCH
DISPLAY ""EXEC_BLOCK_STUB""
                   ELSE
                     DISPLAY 'DELETE WS-CURSOR-SWITCH= '
                     WS-CURSOR-SWITCH
                     IF DELETED AND CURSOR-NOT-FETCHED
DISPLAY ""EXEC_BLOCK_STUB""
                   END-IF
                   DISPLAY 'ENDIF CURSOR FETCHED'
                   IF SQLCODE NOT EQUAL TO 0
                      MOVE SQLCODE TO WS-DISPLAY-SQLCODE
                      DISPLAY 'ERROR ON DELETE - SQLCODE = '
                      WS-DISPLAY-SQLCODE
                   END-IF
               ELSE
                   DISPLAY 'INVALID EMPLOYEE TYPE'  WA-EMP-TYPE
                   IF RECORDS-READ NOT EQUAL TO ZERO
                      MOVE ' INVALID EMPLOYEE TYPE '
                         TO ERROR-LINE
                      WRITE REPORT-RECORD FROM ERROR-LINE
                  END-IF
               END-IF
            END-IF
        END-IF
    END-IF",IF,329,,DISPLAY 'HOURLY' PERFORM 2000-PROCESS-HOURLY,,,,
